endpoint_1	endpoint_2	comparison_name	study_id	organism	process	comparison_figure_name	comparison_figure_name_with_study	comparison_figure_name_with_organism_and_study
SRP011318.Mus_musculus.iPSC_MEF	SRP011318.Mus_musculus.MEF	SRP011318.Mus_musculus.iPSC.over.MEF	SRP011318	Mus_musculus	reprogramming	iPSC over MEF	SRP011318: iPSC over MEF	Mouse - SRP011318: iPSC over MEF
SRP011318.Mus_musculus.iPSC_APC	SRP011318.Mus_musculus.APC	SRP011318.Mus_musculus.iPSC.over.APC	SRP011318	Mus_musculus	reprogramming	iPSC over adipose progenitor cells	SRP011318: iPSC over adipose progenitor cells	Mouse - SRP011318: iPSC over adipose progenitor cells
SRP011318.Mus_musculus.iPSC_HPC	SRP011318.Mus_musculus.HPC	SRP011318.Mus_musculus.iPSC.over.HPC	SRP011318	Mus_musculus	reprogramming	iPSC over hematopoetic progenitor cells	SRP011318: iPSC over hematopoetic progenitor cells	Mouse - SRP011318: iPSC over hematopoetic progenitor cells
SRP016568.Homo_sapiens.iPSC	SRP016568.Homo_sapiens.foreskin_fibro	SRP016568.Homo_sapiens.iPSC.over.foreskin_fibro	SRP016568	Homo_sapiens	reprogramming	iPSC over foreskin fibroblasts	SRP016568: iPSC over foreskin fibroblasts	Human - SRP016568: iPSC over foreskin fibroblasts
SRP026281.Mus_musculus.ciPSC	SRP026281.Mus_musculus.MEF	SRP026281.Mus_musculus.iPSC.over.MEF	SRP026281	Mus_musculus	reprogramming	ciPSC over MEF	SRP026281: ciPSC over MEF	Mouse - SRP026281: ciPSC over MEF
SRP033561.Mus_musculus.iPSC_fast_bulk	SRP033561.Mus_musculus.MEF_slow_bulk	SRP033561.Mus_musculus.iPSC.over.MEF	SRP033561	Mus_musculus	reprogramming	iPSC over MEF	SRP033561: iPSC over MEF	Mouse - SRP033561: iPSC over MEF
SRP033569.Homo_sapiens.iPSC_Retro	SRP033569.Homo_sapiens.fibro	SRP033569.Homo_sapiens.iPSC_Retro.over.fibro	SRP033569	Homo_sapiens	reprogramming	iPSC (retrovirus) over fibroblasts	SRP033569: iPSC (retrovirus) over fibroblasts	Human - SRP033569: iPSC (retrovirus) over fibroblasts
SRP033569.Homo_sapiens.iPSC_Sendai	SRP033569.Homo_sapiens.fibro	SRP033569.Homo_sapiens.iPSC_Sendai.over.fibro	SRP033569	Homo_sapiens	reprogramming	iPSC (Sendai virus) over fibroblasts	SRP033569: iPSC (Sendai virus) over fibroblasts	Human - SRP033569: iPSC (Sendai virus) over fibroblasts
SRP033700.Mus_musculus.iPSC	SRP033700.Mus_musculus.MEF	SRP033700.Mus_musculus.iPSC.over.MEF	SRP033700	Mus_musculus	reprogramming	iPSC over MEF	SRP033700: iPSC over MEF	Mouse - SRP033700: iPSC over MEF
SRP045688.Mus_musculus.iPSC	SRP045688.Mus_musculus.MEF	SRP045688.Mus_musculus.iPSC.over.MEF	SRP045688	Mus_musculus	reprogramming	iPSC over MEF	SRP045688: iPSC over MEF	Mouse - SRP045688: iPSC over MEF
SRP045999.Pan_troglodytes.iPSC_fibro	SRP045999.Pan_troglodytes.dermal_fibro	SRP045999.Pan_troglodytes.iPSC.over.fibro	SRP045999	Pan_troglodytes	reprogramming	iPSC over dermal fibroblasts	SRP045999: iPSC over dermal fibroblasts	Chimpanzee - SRP045999: iPSC over dermal fibroblasts
SRP045999.Homo_sapiens.iPSC_LCL	SRP045999.Homo_sapiens.LCL	SRP045999.Homo_sapiens.iPSC.over.LCL	SRP045999	Homo_sapiens	reprogramming	iPSC over lymphoblastoids	SRP045999: iPSC over lymphoblastoids	Human - SRP045999: iPSC over lymphoblastoids
SRP045999.Homo_sapiens.iPSC_fibro	SRP045999.Homo_sapiens.dermal_fibro	SRP045999.Homo_sapiens.iPSC.over.fibro	SRP045999	Homo_sapiens	reprogramming	iPSC over dermal fibroblasts	SRP045999: iPSC over dermal fibroblasts	Human - SRP045999: iPSC over dermal fibroblasts
SRP049340.Homo_sapiens.iPSC_hiF	SRP049340.Homo_sapiens.hiF	SRP049340.Homo_sapiens.iPSC.over.hiF	SRP049340	Homo_sapiens	reprogramming	iPSC over hiF	SRP049340: iPSC over hiF	Human - SRP049340: iPSC over hiF
SRP049340.Homo_sapiens.iPSC_hiF-T	SRP049340.Homo_sapiens.hiF-T	SRP049340.Homo_sapiens.iPSC.over.hiF.T	SRP049340	Homo_sapiens	reprogramming	iPSC over hiF-T	SRP049340: iPSC over hiF-T	Human - SRP049340: iPSC over hiF-T
SRP052014.Mus_musculus.iPSC_SSC	SRP052014.Mus_musculus.SSC	SRP052014.Mus_musculus.iPSC.over.SSC	SRP052014	Mus_musculus	reprogramming	iPSC over spermatogonial stem cells	SRP052014: iPSC over spermatogonial stem cells	Mouse - SRP052014: iPSC over spermatogonial stem cells
SRP056571.Mus_musculus.iPSC	SRP056571.Mus_musculus.MEF	SRP056571.Mus_musculus.iPSC.over.MEF	SRP056571	Mus_musculus	reprogramming	iPSC over MEF	SRP056571: iPSC over MEF	Mouse - SRP056571: iPSC over MEF
SRP059670.Mus_musculus.iPSC	SRP059670.Mus_musculus.MEF	SRP059670.Mus_musculus.iPSC.over.MEF	SRP059670	Mus_musculus	reprogramming	iPSC over MEF	SRP059670: iPSC over MEF	Mouse - SRP059670: iPSC over MEF
SRP063867.Homo_sapiens.iPSC_isogenic	SRP063867.Homo_sapiens.fibro_isogenic	SRP063867.Homo_sapiens.iPSC.over.fibro	SRP063867	Homo_sapiens	reprogramming	iPSC over fibroblasts	SRP063867: iPSC over fibroblasts	Human - SRP063867: iPSC over fibroblasts
SRP064357.Mus_musculus.ciPSC	SRP064357.Mus_musculus.MEF	SRP064357.Mus_musculus.iPSC.over.MEF	SRP064357	Mus_musculus	reprogramming	ciPSC over MEF	SRP064357: ciPSC over MEF	Mouse - SRP064357: ciPSC over MEF
